	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,06173	0,75926	0,82099	0,79630	0,76543	0,78395	0,77160	0,77778	0,77160	0,77160	0,77838	0,75926	0,75926	0,77160	0,77160	0,77778	0,80864	0,76543	0,75926	0,73457
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,74691	0,05844	0,73718	0,75325	0,79870	0,76282	0,73377	0,71429	0,74074	0,77273	0,80000	0,77500	0,80503	0,78571	0,74026	0,78571	0,79870	0,70779	0,76623	0,75325
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,78395	0,64744	0,07051	0,73718	0,75641	0,75641	0,77564	0,74359	0,77160	0,76923	0,75135	0,75000	0,77358	0,75641	0,76923	0,78205	0,76923	0,74359	0,77564	0,81410
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,77160	0,72727	0,76923	0,06207	0,72297	0,75000	0,70470	0,77124	0,74691	0,73026	0,76757	0,72500	0,76101	0,73826	0,69536	0,79085	0,75862	0,74026	0,71622	0,79310
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,75309	0,74675	0,77564	0,76351	0,06081	0,75641	0,73826	0,75163	0,74074	0,73026	0,78378	0,73125	0,74214	0,72483	0,78146	0,72549	0,77027	0,69481	0,70270	0,75000
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,76543	0,73077	0,77564	0,75641	0,75000	0,06410	0,77564	0,65385	0,71605	0,74359	0,75135	0,75000	0,72956	0,76923	0,73718	0,74359	0,73077	0,72436	0,77564	0,74359
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,79012	0,71429	0,78846	0,73826	0,71812	0,77564	0,04698	0,75163	0,76543	0,74342	0,78378	0,74375	0,75472	0,71141	0,74834	0,74510	0,66443	0,74026	0,78523	0,77181
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,74691	0,68831	0,76282	0,76471	0,73856	0,75000	0,73856	0,05882	0,77778	0,76471	0,77297	0,75000	0,76101	0,73203	0,75163	0,76471	0,78431	0,70130	0,76471	0,74510
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,73457	0,74074	0,79630	0,75309	0,73457	0,73457	0,76543	0,77160	0,05556	0,72840	0,78378	0,74074	0,75926	0,74691	0,76543	0,76543	0,80247	0,69136	0,75926	0,75309
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,77160	0,75325	0,79487	0,73684	0,75000	0,77564	0,80263	0,71895	0,75309	0,05263	0,76757	0,75625	0,77358	0,75000	0,75000	0,78431	0,75000	0,74026	0,75658	0,77632
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,79459	0,82162	0,81622	0,82162	0,80000	0,78378	0,80541	0,80541	0,80541	0,76757	0,07027	0,78919	0,81081	0,81622	0,81081	0,81081	0,80541	0,77838	0,81622	0,78919
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,78395	0,76250	0,79375	0,78125	0,77500	0,80000	0,79375	0,77500	0,80247	0,76875	0,80000	0,06250	0,76250	0,78125	0,78750	0,76875	0,82500	0,78750	0,83125	0,80625
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,75926	0,78616	0,80503	0,77987	0,77358	0,73585	0,78616	0,76730	0,77160	0,76101	0,78378	0,71250	0,06918	0,74843	0,77987	0,77358	0,79874	0,79874	0,79245	0,81132
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,76543	0,75325	0,81410	0,76510	0,75168	0,78846	0,73154	0,76471	0,77778	0,76316	0,77838	0,75625	0,75472	0,06040	0,78146	0,67974	0,80537	0,74026	0,77852	0,76510
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,74691	0,73377	0,82051	0,71523	0,80132	0,76923	0,78146	0,77124	0,75309	0,73684	0,81622	0,78125	0,77987	0,76159	0,06623	0,76471	0,78146	0,75974	0,76159	0,79470
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,77778	0,75325	0,80769	0,69281	0,75817	0,78205	0,79085	0,77778	0,78395	0,76471	0,80000	0,76250	0,76730	0,78431	0,74510	0,06536	0,81046	0,77273	0,78431	0,79085
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,79630	0,75325	0,76282	0,74483	0,71622	0,73077	0,65772	0,77778	0,75309	0,73684	0,77838	0,76875	0,75472	0,75839	0,76821	0,75163	0,06207	0,74675	0,74324	0,75172
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,75309	0,72078	0,76282	0,74675	0,75325	0,78205	0,73377	0,76623	0,69136	0,75325	0,76216	0,73750	0,76730	0,75974	0,74675	0,74675	0,76623	0,05195	0,74675	0,74026
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,74074	0,77273	0,79487	0,74324	0,68919	0,75000	0,76510	0,77778	0,76543	0,73026	0,77297	0,76875	0,77987	0,75839	0,75497	0,77124	0,76351	0,74026	0,06081	0,76351
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,74074	0,73377	0,82051	0,80000	0,77027	0,75641	0,74497	0,73856	0,75926	0,75658	0,77838	0,75625	0,78616	0,77852	0,75497	0,75817	0,77241	0,72078	0,76351	0,07143
