	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,16981	0,62736	0,62736	0,62736	0,61574	0,59906	0,63208	0,62264	0,63679	0,62443	0,60849	0,63208	0,59906	0,58019	0,61321	0,61321	0,61321	0,58491	0,61792	0,60849
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,62736	0,18182	0,58081	0,58081	0,63889	0,57071	0,58081	0,58000	0,60606	0,62896	0,61111	0,61616	0,60606	0,58586	0,60606	0,62121	0,61111	0,58081	0,57576	0,59091
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,62736	0,58081	0,19895	0,59686	0,62963	0,58115	0,58115	0,60000	0,58639	0,67421	0,60209	0,59162	0,54974	0,57592	0,60209	0,60209	0,58115	0,58639	0,59686	0,59686
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,62736	0,58081	0,59686	0,20109	0,66204	0,54450	0,60000	0,59500	0,62105	0,67421	0,59783	0,58152	0,58696	0,57065	0,57609	0,60870	0,61957	0,57609	0,58696	0,60326
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,61574	0,63889	0,62963	0,66204	0,20370	0,62500	0,63889	0,62500	0,69444	0,65611	0,62037	0,65741	0,63426	0,62037	0,63426	0,62500	0,63426	0,61574	0,64352	0,61574
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,59906	0,57071	0,58115	0,54450	0,62500	0,18325	0,59162	0,60000	0,58115	0,65158	0,59686	0,57068	0,58639	0,55497	0,58115	0,58639	0,60209	0,56021	0,59162	0,58639
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,63208	0,58081	0,58115	0,60000	0,63889	0,59162	0,16316	0,57500	0,60526	0,63801	0,57895	0,60000	0,57368	0,57895	0,61053	0,62632	0,61579	0,60000	0,61579	0,58947
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,62264	0,58000	0,60000	0,59500	0,62500	0,60000	0,57500	0,17500	0,63000	0,65611	0,59500	0,60500	0,60000	0,59000	0,62000	0,63000	0,61500	0,60000	0,63500	0,63000
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,63679	0,60606	0,58639	0,62105	0,69444	0,58115	0,60526	0,63000	0,21579	0,65611	0,61053	0,61579	0,57895	0,59474	0,58947	0,61579	0,61579	0,59474	0,57895	0,58421
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,62443	0,62896	0,67421	0,67421	0,65611	0,65158	0,63801	0,65611	0,65611	0,19457	0,66968	0,65158	0,63801	0,63348	0,64706	0,65611	0,64253	0,63348	0,62443	0,64706
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,60849	0,61111	0,60209	0,59783	0,62037	0,59686	0,57895	0,59500	0,61053	0,66968	0,16201	0,56425	0,54749	0,53631	0,56983	0,59777	0,56425	0,56425	0,58659	0,58101
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,63208	0,61616	0,59162	0,58152	0,65741	0,57068	0,60000	0,60500	0,61579	0,65158	0,56425	0,14286	0,50888	0,52381	0,52976	0,54167	0,54762	0,54167	0,54762	0,53571
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,59906	0,60606	0,54974	0,58696	0,63426	0,58639	0,57368	0,60000	0,57895	0,63801	0,54749	0,50888	0,14201	0,49704	0,51479	0,52663	0,54438	0,53254	0,52663	0,52663
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,58019	0,58586	0,57592	0,57065	0,62037	0,55497	0,57895	0,59000	0,59474	0,63348	0,53631	0,52381	0,49704	0,15244	0,48485	0,53049	0,50610	0,49398	0,49390	0,48780
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,61321	0,60606	0,60209	0,57609	0,63426	0,58115	0,61053	0,62000	0,58947	0,64706	0,56983	0,52976	0,51479	0,48485	0,16970	0,55758	0,52727	0,51205	0,50909	0,52727
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,61321	0,62121	0,60209	0,60870	0,62500	0,58639	0,62632	0,63000	0,61579	0,65611	0,59777	0,54167	0,52663	0,53049	0,55758	0,16770	0,54658	0,54217	0,52795	0,50932
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,61321	0,61111	0,58115	0,61957	0,63426	0,60209	0,61579	0,61500	0,61579	0,64253	0,56425	0,54762	0,54438	0,50610	0,52727	0,54658	0,14286	0,51807	0,51553	0,51553
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,58491	0,58081	0,58639	0,57609	0,61574	0,56021	0,60000	0,60000	0,59474	0,63348	0,56425	0,54167	0,53254	0,49398	0,51205	0,54217	0,51807	0,15663	0,51205	0,51205
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,61792	0,57576	0,59686	0,58696	0,64352	0,59162	0,61579	0,63500	0,57895	0,62443	0,58659	0,54762	0,52663	0,49390	0,50909	0,52795	0,51553	0,51205	0,16561	0,52229
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,60849	0,59091	0,59686	0,60326	0,61574	0,58639	0,58947	0,63000	0,58421	0,64706	0,58101	0,53571	0,52663	0,48780	0,52727	0,50932	0,51553	0,51205	0,52229	0,13725
